File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 10u,Signal to Noise Ratio 10u,Limit of Detection (nM) 10u,Mean Signal 5u,Signal to Noise Ratio 5u,Limit of Detection (nM) 5u,Start to Start Distance From Last Set 5u,Mean Signal 1u,Signal to Noise Ratio 1u,Limit of Detection (nM) 1u,Start to Start Distance From Last Set 1u,Mean Signal 500n,Signal to Noise Ratio 500n,Limit of Detection (nM) 500n,Start to Start Distance From Last Set 500n,Mean Signal 100n,Signal to Noise Ratio 100n,Limit of Detection (nM) 100n,Start to Start Distance From Last Set 100n,Mean Signal 50n,Signal to Noise Ratio 50n,Limit of Detection (nM) 50n,Start to Start Distance From Last Set 50n
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,16,2,Known Concentration,6.640,1.122,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no chip.bmp,4,16,2,Assays,7.291,1.092,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no chip.bmp,4,16,2,Known Concentration,6.890,1.230,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no LED.bmp,4,16,2,Assays,1.769,0.775,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no LED.bmp,4,16,2,Known Concentration,1.907,0.820,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc chip.bmp,4,25,2,Assays,4.891,1.205,4,60.709,16.788,595.662,76.109,21.047,237.567,140,24.576,6.796,147.146,140,13.109,3.625,137.929,142,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc chip.bmp,4,25,2,Known Concentration,5.141,1.183,4,167.926,47.334,211.265,116.326,32.789,152.490,140,24.059,6.782,147.458,140,12.459,3.512,142.376,141,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,25,2,Assays,3.739,0.898,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,25,2,Known Concentration,3.776,1.005,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no chip.bmp,4,25,2,Assays,3.603,0.998,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no chip.bmp,4,25,2,Known Concentration,3.684,0.887,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no LED.bmp,4,25,2,Assays,1.886,0.897,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no LED.bmp,4,25,2,Known Concentration,1.838,0.886,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc chip.bmp,4,35,2,Assays,4.457,0.987,4,37.543,12.679,788.702,46.877,15.831,315.834,137,18.943,6.397,156.312,141,7.343,2.480,201.618,140,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc chip.bmp,4,35,2,Known Concentration,4.348,0.850,4,139.919,54.896,182.164,87.519,34.337,145.615,138,16.586,6.507,153.677,155,8.986,3.525,141.828,127,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,35,2,Assays,3.167,0.955,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,35,2,Known Concentration,3.152,0.791,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no chip.bmp,4,35,2,Assays,3.253,0.877,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
