File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Left Top,28.327,4.235,3,152.973,11.019,227.907,16.417,112,230.973,16.638,114,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Left Middle,36.200,7.620,3,145.471,4.529,206.338,6.424,115,217.271,6.765,113,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Left Bottom,32.204,3.946,3,126.653,10.805,191.920,16.373,111,218.253,18.620,110,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Center Top,24.764,4.873,3,181.164,9.916,233.231,12.767,112,233.231,12.767,110,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Center Middle,30.280,6.686,3,157.778,5.552,218.178,7.677,113,224.378,7.895,113,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Center Bottom,26.004,4.357,3,134.093,10.461,203.827,15.902,112,226.827,17.696,96,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Right Top,17.124,2.198,3,129.658,25.300,210.591,41.092,112,240.124,46.855,112,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Right Middle,19.271,2.400,3,99.071,12.791,199.738,25.788,99,233.071,30.091,111,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Right Bottom,19.724,4.023,3,105.151,6.116,174.218,10.133,110,222.151,12.920,113,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Left Top,9.293,1.366,3,43.951,11.476,110.818,28.936,112,138.551,36.177,111,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Left Middle,9.413,1.478,3,65.453,18.685,124.720,35.603,112,167.187,47.726,111,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Left Bottom,9.318,1.682,3,36.449,6.965,101.982,19.488,113,138.582,26.481,110,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Center Top,9.558,1.660,3,68.493,13.202,139.227,26.835,112,190.893,36.793,111,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Center Middle,10.151,1.442,3,56.058,11.501,112.191,23.018,112,188.124,38.597,96,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Center Bottom,9.018,1.251,3,54.564,12.404,117.164,26.635,111,156.498,35.576,112,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Right Top,8.047,1.229,3,42.298,11.238,102.831,27.320,111,138.764,36.867,112,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Right Middle,8.727,1.220,3,31.742,7.791,108.076,26.527,98,149.476,36.688,112,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Right Bottom,7.882,1.383,3,35.267,8.263,67.600,15.839,96,110.800,25.960,112,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Left Top,17.218,2.184,3,91.911,13.838,148.444,22.349,99,201.111,30.278,110,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Left Middle,17.958,2.117,3,119.764,19.372,170.964,27.654,109,221.164,35.774,112,0
