File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Limit of Detection (nM) 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Limit of Detection (nM) 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Limit of Detection (nM) 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Center Top,24.764,4.873,3,181.164,9.916,100.842,233.231,12.767,391.65,112,233.231,12.767,783.3,110,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Center Middle,30.28,6.686,3,157.778,5.552,180.125,218.178,7.677,651.299,113,224.378,7.895,1266.605,113,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Center Bottom,26.004,4.357,3,134.093,10.461,95.59,203.827,15.902,314.434,112,226.827,17.696,565.102,96,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Right Top,17.124,2.198,3,129.658,25.3,39.526,210.591,41.092,121.678,112,240.124,46.855,213.425,112,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Right Middle,19.271,2.4,3,99.071,12.791,78.181,199.738,25.788,193.89,99,233.071,30.091,332.321,111,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Right Bottom,19.724,4.023,3,105.151,6.116,163.516,174.218,10.133,493.459,110,222.151,12.92,773.972,113,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Left Top,9.293,1.366,3,43.951,11.476,87.138,110.818,28.936,172.797,112,138.551,36.177,276.418,111,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Left Middle,9.413,1.478,3,65.453,18.685,53.52,124.72,35.603,140.437,112,167.187,47.726,209.529,111,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Left Bottom,9.318,1.682,3,36.449,6.965,143.576,101.982,19.488,256.574,113,138.582,26.481,377.624,110,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Center Top,9.558,1.66,3,68.493,13.202,75.748,139.227,26.835,186.324,112,190.893,36.793,271.787,111,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Center Middle,10.151,1.442,3,56.058,11.501,86.946,112.191,23.018,217.219,112,188.124,38.597,259.085,96,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Center Bottom,9.018,1.251,3,54.564,12.404,80.619,117.164,26.635,187.725,111,156.498,35.576,281.086,112,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Right Top,8.047,1.229,3,42.298,11.238,88.985,102.831,27.32,183.013,111,138.764,36.867,271.243,112,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Right Middle,8.727,1.22,3,31.742,7.791,128.353,108.076,26.527,188.489,98,149.476,36.688,272.568,112,0
10-09 35mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,35,2,Right Bottom,7.882,1.383,3,35.267,8.263,121.022,67.6,15.839,315.684,96,110.8,25.96,385.203,112,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Left Top,17.218,2.184,3,91.911,13.838,72.266,148.444,22.349,223.722,99,201.111,30.278,330.269,110,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Left Middle,17.958,2.117,3,119.764,19.372,51.621,170.964,27.654,180.807,109,221.164,35.774,279.534,112,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Left Bottom,17.887,2.284,3,83.987,15.192,65.825,130.187,23.549,212.326,111,196.253,35.499,281.697,112,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Center Top,18.084,3.704,3,119.253,7.278,137.4,194.187,11.851,421.899,112,231.453,14.126,707.936,113,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Center Middle,20.053,2.138,3,132.062,21.577,46.346,183.929,30.051,166.385,112,227.529,37.174,269.004,116,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Center Bottom,16.704,2.297,3,107.258,15.419,64.855,160.724,23.105,216.401,112,214.724,30.868,323.959,97,0
