File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 10u,Signal to Noise Ratio 10u,Mean Signal 5u,Signal to Noise Ratio 5u,Start to Start Distance From Last Set 5u,Mean Signal 1u,Signal to Noise Ratio 1u,Start to Start Distance From Last Set 1u,Mean Signal 500n,Signal to Noise Ratio 500n,Start to Start Distance From Last Set 500n,Mean Signal 100n,Signal to Noise Ratio 100n,Start to Start Distance From Last Set 100n,Mean Signal 50n,Signal to Noise Ratio 50n,Start to Start Distance From Last Set 50n
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no LED.bmp,4,16,2,Known Concentration,1.907,0.820,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc chip.bmp,4,25,2,Assays,4.891,1.205,4,60.709,16.788,76.109,21.047,140,24.576,6.796,140,13.109,3.625,142,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc chip.bmp,4,25,2,Known Concentration,5.141,1.183,4,167.926,47.334,116.326,32.789,140,24.059,6.782,140,12.459,3.512,141,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,25,2,Assays,3.739,0.898,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,25,2,Known Concentration,3.776,1.005,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no chip.bmp,4,25,2,Assays,3.603,0.998,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no chip.bmp,4,25,2,Known Concentration,3.684,0.887,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no LED.bmp,4,25,2,Assays,1.886,0.897,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 25mm lens F1.4 10-02 Red Exc no LED.bmp,4,25,2,Known Concentration,1.838,0.886,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc chip.bmp,4,35,2,Assays,4.457,0.987,4,37.543,12.679,46.877,15.831,137,18.943,6.397,141,7.343,2.480,140,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc chip.bmp,4,35,2,Known Concentration,4.348,0.850,4,139.919,54.896,87.519,34.337,138,16.586,6.507,155,8.986,3.525,127,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,35,2,Assays,3.167,0.955,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,35,2,Known Concentration,3.152,0.791,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no chip.bmp,4,35,2,Assays,3.253,0.877,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no chip.bmp,4,35,2,Known Concentration,3.139,0.823,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no LED.bmp,4,35,2,Assays,1.749,0.700,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no LED.bmp,4,35,2,Known Concentration,1.789,0.711,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 7A 25mm lens F1.4 10-02 Red Exc chip.bmp,7,25,2,Assays,5.437,1.105,4,53.297,16.076,76.497,23.075,138,23.897,7.208,141,8.363,2.523,138,0.000,0.000,0,0.000,0.000,0
2sec G20 7A 25mm lens F1.4 10-02 Red Exc chip.bmp,7,25,2,Known Concentration,5.656,1.216,4,189.211,51.850,130.411,35.737,141,25.944,7.110,139,7.544,2.067,140,0.000,0.000,0,0.000,0.000,0
2sec G20 7A 35mm lens F1.4 10-02 Red Exc chip.bmp,7,35,2,Assays,5.002,0.989,4,29.464,9.926,38.464,12.958,138,14.131,4.761,139,5.731,1.931,143,0.000,0.000,0,0.000,0.000,0
2sec G20 7A 35mm lens F1.4 10-02 Red Exc chip.bmp,7,35,2,Known Concentration,5.045,1.412,4,148.489,35.049,97.555,23.027,140,20.155,4.757,140,8.289,1.956,140,0.000,0.000,0,0.000,0.000,0
5sec G20 7A 25mm lens F1.4 10-02 Red Exc chip.bmp,7,25,5,Assays,11.237,2.000,4,113.097,18.848,139.630,23.270,140,56.763,9.460,140,20.497,3.416,140,0.000,0.000,0,0.000,0.000,0
5sec G20 7A 25mm lens F1.4 10-02 Red Exc chip.bmp,7,25,5,Known Concentration,11.296,2.026,4,242.704,39.934,191.838,31.565,140,58.038,9.549,140,16.971,2.792,141,0.000,0.000,0,0.000,0.000,0
5sec G20 7A 35mm lens F1.4 10-02 Red Exc chip.bmp,7,35,5,Assays,10.121,1.393,4,64.612,15.462,86.346,20.662,139,33.879,8.107,140,17.279,4.135,139,0.000,0.000,0,0.000,0.000,0
5sec G20 7A 35mm lens F1.4 10-02 Red Exc chip.bmp,7,35,5,Known Concentration,9.668,1.441,5,211.066,48.827,149.199,34.515,141,48.732,11.274,138,21.066,4.873,141,6.532,1.511,138,0.000,0.000,0
